"site","habitat","treatment","Cercado","plot","sampling_unit","year","date","variable_type","variable_name","level","observation","Grado de ramoneo","sampling_num","units","comments","author_code"
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",130,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Fumana_thymifolia",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",24,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",180,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",70,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",70,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",140,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",100,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Genista_scorpius",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",120,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",5,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",160,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",5,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",5,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",84,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",24,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",435,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_ilex",145,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",30,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",30,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",50,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",13,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",70,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",240,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",100,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",30,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",110,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",25,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",375,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Genista_scorpius",15,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",25,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",355,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",195,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",120,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",80,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",85,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",6,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",124,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",15,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",240,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Cistus_albidus",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Cistus_albidus",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",200,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",140,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",170,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Genista_scorpius",23,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",300,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",80,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_apenninum",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",11,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",5,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",180,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Cistus_albidus",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",6,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",66,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",157,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Cistus_salviifolius",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",55,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_apenninum",1,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_ilex",100,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",6,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",55,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_ilex",15,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",215,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_ilex",55,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",185,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",250,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",640,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Genista_scorpius",40,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",70,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Pinus_halepensis",73,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",40,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Dorycnium_hirsutum",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",88,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",343,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Dorycnium_pentaphyllum",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",30,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Cistus_salviifolius",20,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Dorycnium_pentaphyllum",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Ulex_parviflorus",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",60,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",15,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",50,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_ilex",25,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",60,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",80,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Bupleurum_fruticescens",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",612,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Fumana_thymifolia",5,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",3,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",2,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",6,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",1,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",6,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",10,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Helianthemum_cinereum",1,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",4,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Thymus_vulgaris",17,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",175,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_coccifera",125,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Quercus_ilex",130,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",225,NA,NA,"n_cm_intersected",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T41",2022,2022-06-02,"vegetation","woody_vegetation_cover","Rosmarinus_officinalis",240,NA,NA,"n_cm_intersected",NA,NA
