"site","habitat","treatment","plot","sampling_unit","year","variable_type","variable_name","level","observation","units","comments","author_code"
"toledo","forest","high",NA,"T14",2022,"vegetation","cover_percentage","Bare_ground",59.5161290322581,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T14",2022,"vegetation","cover_percentage","Herbs",0.32258064516129,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T14",2022,"vegetation","cover_percentage","Woody_sp",40.1612903225806,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T15",2021,"vegetation","cover_percentage","Bare_ground",23.1448185681595,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T15",2021,"vegetation","cover_percentage","Herbs",35.4691075514874,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T15",2021,"vegetation","cover_percentage","Woody_sp",41.3860738803531,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T15",2022,"vegetation","cover_percentage","Bare_ground",40.3252032520325,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T15",2022,"vegetation","cover_percentage","Herbs",13.0081300813008,"percentage_in_track",NA,NA
"toledo","forest","high",NA,"T15",2022,"vegetation","cover_percentage","Woody_sp",46.6666666666667,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T16",2021,"vegetation","cover_percentage","Bare_ground",55.5228758169935,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T16",2021,"vegetation","cover_percentage","Herbs",5.06535947712418,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T16",2021,"vegetation","cover_percentage","Woody_sp",39.4117647058824,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T16",2022,"vegetation","cover_percentage","Bare_ground",63.5782747603834,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T16",2022,"vegetation","cover_percentage","Herbs",3.83386581469649,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T16",2022,"vegetation","cover_percentage","Woody_sp",32.5878594249201,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T17",2021,"vegetation","cover_percentage","Bare_ground",31.9899244332494,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T17",2021,"vegetation","cover_percentage","Herbs",3.02267002518892,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T17",2021,"vegetation","cover_percentage","Woody_sp",64.9874055415617,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T17",2022,"vegetation","cover_percentage","Bare_ground",48.7741935483871,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T17",2022,"vegetation","cover_percentage","Herbs",0.32258064516129,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T17",2022,"vegetation","cover_percentage","Woody_sp",50.9032258064516,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T19",2021,"vegetation","cover_percentage","Bare_ground",54.2874580408911,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T19",2021,"vegetation","cover_percentage","Herbs",6.83552029295087,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T19",2021,"vegetation","cover_percentage","Woody_sp",38.8770216661581,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T19",2022,"vegetation","cover_percentage","Bare_ground",56.8592057761733,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T19",2022,"vegetation","cover_percentage","Herbs",10.2888086642599,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T19",2022,"vegetation","cover_percentage","Woody_sp",32.8519855595668,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T20",2021,"vegetation","cover_percentage","Bare_ground",30.3540903540904,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T20",2021,"vegetation","cover_percentage","Herbs",1.0989010989011,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T20",2021,"vegetation","cover_percentage","Woody_sp",68.5470085470085,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T20",2022,"vegetation","cover_percentage","Bare_ground",39.5962732919255,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T20",2022,"vegetation","cover_percentage","Herbs",1.86335403726708,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T20",2022,"vegetation","cover_percentage","Woody_sp",58.5403726708075,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T66",2021,"vegetation","cover_percentage","Bare_ground",47.2715318869165,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T66",2021,"vegetation","cover_percentage","Herbs",3.78040762656147,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T66",2021,"vegetation","cover_percentage","Woody_sp",48.948060486522,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T66",2022,"vegetation","cover_percentage","Bare_ground",51.301684532925,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T66",2022,"vegetation","cover_percentage","Herbs",1.83767228177642,"percentage_in_track",NA,NA
"toledo","forest","hyper",NA,"T66",2022,"vegetation","cover_percentage","Woody_sp",46.8606431852986,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T51",2021,"vegetation","cover_percentage","Bare_ground",10.8536585365854,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T51",2021,"vegetation","cover_percentage","Herbs",3.90243902439024,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T51",2021,"vegetation","cover_percentage","Woody_sp",85.2439024390244,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T51",2022,"vegetation","cover_percentage","Bare_ground",10.8208955223881,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T51",2022,"vegetation","cover_percentage","Herbs",1.99004975124378,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T51",2022,"vegetation","cover_percentage","Woody_sp",87.1890547263682,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T52",2021,"vegetation","cover_percentage","Bare_ground",4.25029515938607,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T52",2021,"vegetation","cover_percentage","Woody_sp",95.7497048406139,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T52",2022,"vegetation","cover_percentage","Bare_ground",4.23031727379554,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T52",2022,"vegetation","cover_percentage","Woody_sp",95.7696827262045,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T53",2021,"vegetation","cover_percentage","Bare_ground",6.37191157347204,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T53",2021,"vegetation","cover_percentage","Herbs",11.1833550065019,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T53",2021,"vegetation","cover_percentage","Woody_sp",82.444733420026,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T53",2022,"vegetation","cover_percentage","Bare_ground",17.4931129476584,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T53",2022,"vegetation","cover_percentage","Herbs",7.16253443526171,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T53",2022,"vegetation","cover_percentage","Woody_sp",75.3443526170799,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T64",2021,"vegetation","cover_percentage","Bare_ground",16.025641025641,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T64",2021,"vegetation","cover_percentage","Herbs",24.6794871794872,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T64",2021,"vegetation","cover_percentage","Woody_sp",59.2948717948718,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T64",2022,"vegetation","cover_percentage","Bare_ground",17.6557863501484,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T64",2022,"vegetation","cover_percentage","Herbs",17.6557863501484,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T64",2022,"vegetation","cover_percentage","Woody_sp",64.6884272997033,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T65",2021,"vegetation","cover_percentage","Bare_ground",11.7363344051447,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T65",2021,"vegetation","cover_percentage","Herbs",11.0932475884244,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T65",2021,"vegetation","cover_percentage","Woody_sp",77.1704180064309,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T65",2022,"vegetation","cover_percentage","Bare_ground",16.6158536585366,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T65",2022,"vegetation","cover_percentage","Herbs",11.5853658536585,"percentage_in_track",NA,NA
"toledo","scrub","control",NA,"T65",2022,"vegetation","cover_percentage","Woody_sp",71.7987804878049,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T56",2021,"vegetation","cover_percentage","Bare_ground",30.7906976744186,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T56",2021,"vegetation","cover_percentage","Woody_sp",69.2093023255814,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T56",2022,"vegetation","cover_percentage","Bare_ground",25.8215962441315,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T56",2022,"vegetation","cover_percentage","Woody_sp",74.1784037558685,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T57",2021,"vegetation","cover_percentage","Bare_ground",6.8566340160285,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T57",2021,"vegetation","cover_percentage","Herbs",10.804392994954,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T57",2021,"vegetation","cover_percentage","Woody_sp",82.3389729890175,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T57",2022,"vegetation","cover_percentage","Bare_ground",16.9705469845722,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T57",2022,"vegetation","cover_percentage","Herbs",1.12201963534362,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T57",2022,"vegetation","cover_percentage","Woody_sp",81.9074333800842,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T58",2021,"vegetation","cover_percentage","Bare_ground",11.0585452395033,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T58",2021,"vegetation","cover_percentage","Herbs",3.51862803075103,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T58",2021,"vegetation","cover_percentage","Woody_sp",85.4228267297457,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T58",2022,"vegetation","cover_percentage","Bare_ground",14.5985401459854,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T58",2022,"vegetation","cover_percentage","Herbs",2.77372262773723,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T58",2022,"vegetation","cover_percentage","Woody_sp",82.6277372262774,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T59",2021,"vegetation","cover_percentage","Bare_ground",29.9227202472952,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T59",2021,"vegetation","cover_percentage","Herbs",23.3693972179289,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T59",2021,"vegetation","cover_percentage","Woody_sp",46.7078825347759,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T59",2022,"vegetation","cover_percentage","Bare_ground",33.8709677419355,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T59",2022,"vegetation","cover_percentage","Herbs",15.6451612903226,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T59",2022,"vegetation","cover_percentage","Woody_sp",50.4838709677419,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T60",2021,"vegetation","cover_percentage","Bare_ground",33.3431777909037,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T60",2021,"vegetation","cover_percentage","Herbs",8.97814530419374,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T60",2021,"vegetation","cover_percentage","Woody_sp",57.6786769049025,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T60",2022,"vegetation","cover_percentage","Bare_ground",38.5335413416537,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T60",2022,"vegetation","cover_percentage","Herbs",1.24804992199688,"percentage_in_track",NA,NA
"toledo","scrub","high",NA,"T60",2022,"vegetation","cover_percentage","Woody_sp",60.2184087363495,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T21",2021,"vegetation","cover_percentage","Bare_ground",21.7767295597484,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T21",2021,"vegetation","cover_percentage","Woody_sp",78.2232704402516,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T21",2022,"vegetation","cover_percentage","Bare_ground",22.3342939481268,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T21",2022,"vegetation","cover_percentage","Woody_sp",77.6657060518732,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T22",2021,"vegetation","cover_percentage","Bare_ground",21.2001218397807,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T22",2021,"vegetation","cover_percentage","Woody_sp",78.7998781602193,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T22",2022,"vegetation","cover_percentage","Bare_ground",18.4962406015038,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T22",2022,"vegetation","cover_percentage","Herbs",0.300751879699248,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T22",2022,"vegetation","cover_percentage","Woody_sp",81.203007518797,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T23",2021,"vegetation","cover_percentage","Bare_ground",25.556206088993,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T23",2021,"vegetation","cover_percentage","Herbs",0.644028103044497,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T23",2021,"vegetation","cover_percentage","Woody_sp",73.7997658079625,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T23",2022,"vegetation","cover_percentage","Bare_ground",32.7217125382263,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T23",2022,"vegetation","cover_percentage","Woody_sp",67.2782874617737,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T24",2021,"vegetation","cover_percentage","Bare_ground",8.45429080723198,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T24",2021,"vegetation","cover_percentage","Woody_sp",91.545709192768,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T24",2022,"vegetation","cover_percentage","Bare_ground",18.0946848678478,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T24",2022,"vegetation","cover_percentage","Herbs",2.29451060121987,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T24",2022,"vegetation","cover_percentage","Woody_sp",79.6108045309323,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T25",2021,"vegetation","cover_percentage","Bare_ground",21.1031833150384,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T25",2021,"vegetation","cover_percentage","Woody_sp",78.8968166849616,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T25",2022,"vegetation","cover_percentage","Bare_ground",28.2857142857143,"percentage_in_track",NA,NA
"toledo","scrub","hyper",NA,"T25",2022,"vegetation","cover_percentage","Woody_sp",71.7142857142857,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T17",2022,"vegetation","cover_percentage","Bare_ground",14.9826789838337,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T17",2022,"vegetation","cover_percentage","Herbs",17.5519630484988,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T17",2022,"vegetation","cover_percentage","Woody_sp",67.4653579676674,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T18",2022,"vegetation","cover_percentage","Bare_ground",14.2599819873912,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T18",2022,"vegetation","cover_percentage","Herbs",7.74542179525668,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T18",2022,"vegetation","cover_percentage","Woody_sp",77.9945962173521,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T19",2022,"vegetation","cover_percentage","Bare_ground",25.2057905194437,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T19",2022,"vegetation","cover_percentage","Herbs",9.96309963099631,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T19",2022,"vegetation","cover_percentage","Woody_sp",64.83110984956,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T21",2022,"vegetation","cover_percentage","Bare_ground",13.905325443787,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T21",2022,"vegetation","cover_percentage","Herbs",15.3846153846154,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T21",2022,"vegetation","cover_percentage","Woody_sp",70.7100591715976,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T22",2022,"vegetation","cover_percentage","Bare_ground",28.236316246742,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T22",2022,"vegetation","cover_percentage","Herbs",27.2516652186504,"percentage_in_track",NA,NA
"valencia","scrub","control_high",NA,"T22",2022,"vegetation","cover_percentage","Woody_sp",44.5120185346076,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T45",2022,"vegetation","cover_percentage","Bare_ground",21.4004173429168,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T45",2022,"vegetation","cover_percentage","Herbs",3.08370044052863,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T45",2022,"vegetation","cover_percentage","Woody_sp",75.5158822165546,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T46",2022,"vegetation","cover_percentage","Bare_ground",27.5537238740065,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T46",2022,"vegetation","cover_percentage","Herbs",8.12481601413011,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T46",2022,"vegetation","cover_percentage","Woody_sp",64.3214601118634,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T47",2022,"vegetation","cover_percentage","Bare_ground",15.0190114068441,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T47",2022,"vegetation","cover_percentage","Herbs",28.9290240811153,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T47",2022,"vegetation","cover_percentage","Woody_sp",56.0519645120406,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T48",2022,"vegetation","cover_percentage","Bare_ground",7.52056404230317,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T48",2022,"vegetation","cover_percentage","Herbs",24.9706227967098,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T48",2022,"vegetation","cover_percentage","Woody_sp",67.5088131609871,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T49",2022,"vegetation","cover_percentage","Bare_ground",19.8370416797242,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T49",2022,"vegetation","cover_percentage","Herbs",7.55249138201191,"percentage_in_track",NA,NA
"valencia","scrub","control_hyper",NA,"T49",2022,"vegetation","cover_percentage","Woody_sp",72.6104669382639,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T1",2022,"vegetation","cover_percentage","Bare_ground",11.0515740120563,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T1",2022,"vegetation","cover_percentage","Herbs",36.403215003349,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T1",2022,"vegetation","cover_percentage","Woody_sp",52.5452109845948,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T11",2022,"vegetation","cover_percentage","Bare_ground",7.89821546596167,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T11",2022,"vegetation","cover_percentage","Herbs",60.5419695968275,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T11",2022,"vegetation","cover_percentage","Woody_sp",31.5598149372108,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T2",2022,"vegetation","cover_percentage","Bare_ground",8.3084442030953,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T2",2022,"vegetation","cover_percentage","Herbs",12.7070323106163,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T2",2022,"vegetation","cover_percentage","Woody_sp",78.9845234862884,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T3",2022,"vegetation","cover_percentage","Bare_ground",19.8384491114701,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T3",2022,"vegetation","cover_percentage","Herbs",29.2084006462036,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T3",2022,"vegetation","cover_percentage","Woody_sp",50.9531502423263,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T4",2022,"vegetation","cover_percentage","Bare_ground",9.48060075093867,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T4",2022,"vegetation","cover_percentage","Herbs",42.0525657071339,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T4",2022,"vegetation","cover_percentage","Woody_sp",48.4668335419274,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T5",2022,"vegetation","cover_percentage","Bare_ground",8.97090517241379,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T5",2022,"vegetation","cover_percentage","Herbs",21.7672413793103,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T5",2022,"vegetation","cover_percentage","Woody_sp",69.2618534482759,"percentage_in_track",NA,NA
"valencia","scrub","high",NA,"T6",2022,"vegetation","cover_percentage","Bare_ground",24.6001279590531,"percentage_in_track",NA,NA
