"site","year","treatment","track","species","sampling_unit","observation"
"toledo",2021,"high",14,"Quercus faginea","toledo/2021/high/14",10
"toledo",2021,"high",14,"Quercus ilex","toledo/2021/high/14",5
"toledo",2021,"high",14,"Phillyrea angustifolia","toledo/2021/high/14",1
"toledo",2021,"high",14,"Erica arborea","toledo/2021/high/14",3
"toledo",2021,"high",15,"Quercus ilex","toledo/2021/high/15",9
"toledo",2021,"high",15,"Quercus pyrenaica","toledo/2021/high/15",3
"toledo",2021,"high",15,"Cistus ladanifer","toledo/2021/high/15",9
"toledo",2021,"high",15,"Rosmarinus officinalis","toledo/2021/high/15",4
"toledo",2021,"hyper",16,"Quercus faginea","toledo/2021/hyper/16",3
"toledo",2021,"hyper",16,"Quercus ilex","toledo/2021/hyper/16",16
"toledo",2021,"hyper",17,"Quercus faginea","toledo/2021/hyper/17",7
"toledo",2021,"hyper",17,"Quercus ilex","toledo/2021/hyper/17",21
"toledo",2021,"hyper",17,"Quercus pyrenaica","toledo/2021/hyper/17",1
"toledo",2021,"hyper",17,"Cistus ladanifer","toledo/2021/hyper/17",2
"toledo",2021,"hyper",17,"Cistus populifolius","toledo/2021/hyper/17",1
"toledo",2021,"hyper",19,"Quercus ilex","toledo/2021/hyper/19",4
"toledo",2021,"hyper",19,"Quercus pyrenaica","toledo/2021/hyper/19",4
"toledo",2021,"hyper",19,"Arbutus unedo","toledo/2021/hyper/19",1
"toledo",2021,"hyper",20,"Quercus ilex","toledo/2021/hyper/20",25
"toledo",2021,"hyper",20,"Quercus faginea","toledo/2021/hyper/20",10
"toledo",2021,"hyper",20,"Rhamnus alaternus","toledo/2021/hyper/20",2
"toledo",2021,"hyper",20,"Arbutus unedo","toledo/2021/hyper/20",1
"toledo",2021,"hyper",20,"Quercus pyrenaica","toledo/2021/hyper/20",1
"toledo",2021,"hyper",20,"Sorbus torminalis","toledo/2021/hyper/20",3
"toledo",2021,"hyper",20,"Cistus ladanifer","toledo/2021/hyper/20",5
"toledo",2021,"hyper",20,"Daphne gnidium","toledo/2021/hyper/20",2
"toledo",2021,"hyper",21,"Quercus ilex","toledo/2021/hyper/21",2
"toledo",2021,"hyper",21,"Quercus faginea","toledo/2021/hyper/21",3
"toledo",2021,"hyper",21,"Phillyrea angustifolia","toledo/2021/hyper/21",1
"toledo",2021,"hyper",21,"Cistus ladanifer","toledo/2021/hyper/21",9
"toledo",2021,"hyper",21,"Rosmarinus officinalis","toledo/2021/hyper/21",15
"toledo",2021,"hyper",22,"Quercus ilex","toledo/2021/hyper/22",3
"toledo",2021,"hyper",22,"Quercus faginea","toledo/2021/hyper/22",2
"toledo",2021,"hyper",22,"Phillyrea angustifolia","toledo/2021/hyper/22",1
"toledo",2021,"hyper",22,"Pinus pinaster","toledo/2021/hyper/22",1
"toledo",2021,"hyper",22,"Cistus ladanifer","toledo/2021/hyper/22",14
"toledo",2021,"hyper",22,"Rosmarinus officinalis","toledo/2021/hyper/22",19
"toledo",2021,"hyper",22,"Erica arborea","toledo/2021/hyper/22",2
"toledo",2021,"hyper",22,"Erica australis","toledo/2021/hyper/22",1
"toledo",2021,"hyper",23,"Quercus faginea","toledo/2021/hyper/23",1
"toledo",2021,"hyper",23,"Quercus ilex","toledo/2021/hyper/23",11
"toledo",2021,"hyper",23,"Cistus populifolius","toledo/2021/hyper/23",5
"toledo",2021,"hyper",23,"Cistus ladanifer","toledo/2021/hyper/23",5
"toledo",2021,"hyper",23,"Rosmarinus officinalis","toledo/2021/hyper/23",4
"toledo",2021,"hyper",24,"Quercus faginea","toledo/2021/hyper/24",3
"toledo",2021,"hyper",24,"Arbutus unedo","toledo/2021/hyper/24",4
"toledo",2021,"hyper",24,"Pinus pinaster","toledo/2021/hyper/24",1
"toledo",2021,"hyper",24,"Quercus ilex","toledo/2021/hyper/24",8
"toledo",2021,"hyper",24,"Daphne gnidium","toledo/2021/hyper/24",1
"toledo",2021,"hyper",24,"Cistus ladanifer","toledo/2021/hyper/24",12
"toledo",2021,"hyper",24,"Cistus populifolius","toledo/2021/hyper/24",3
"toledo",2021,"hyper",24,"Rosmarinus officinalis","toledo/2021/hyper/24",5
"toledo",2021,"hyper",25,"Quercus ilex","toledo/2021/hyper/25",11
"toledo",2021,"hyper",25,"Phillyrea angustifolia","toledo/2021/hyper/25",1
"toledo",2021,"hyper",25,"Cistus ladanifer","toledo/2021/hyper/25",4
"toledo",2021,"hyper",25,"Rosmarinus officinalis","toledo/2021/hyper/25",10
"toledo",2021,"hyper",25,"Cistus populifolius","toledo/2021/hyper/25",5
"toledo",2021,"control",51,"Arbutus unedo","toledo/2021/control/51",3
"toledo",2021,"control",51,"Quercus ilex","toledo/2021/control/51",1
"toledo",2021,"control",51,"Quercus faginea","toledo/2021/control/51",1
"toledo",2021,"control",51,"Phillyrea angustifolia","toledo/2021/control/51",1
"toledo",2021,"control",51,"Rosmarinus officinalis","toledo/2021/control/51",1
"toledo",2021,"control",51,"Thymus mastichina","toledo/2021/control/51",1
"toledo",2021,"control",52,"Arbutus unedo","toledo/2021/control/52",4
"toledo",2021,"control",52,"Phillyrea angustifolia","toledo/2021/control/52",4
"toledo",2021,"control",52,"Quercus faginea","toledo/2021/control/52",1
"toledo",2021,"control",52,"Cistus ladanifer","toledo/2021/control/52",1
"toledo",2021,"control",52,"Rosmarinus officinalis","toledo/2021/control/52",1
"toledo",2021,"control",52,"Erica arborea","toledo/2021/control/52",8
"toledo",2021,"control",52,"Erica australis","toledo/2021/control/52",2
"toledo",2021,"control",53,"Quercus pyrenaica","toledo/2021/control/53",1
"toledo",2021,"control",53,"Arbutus unedo","toledo/2021/control/53",3
"toledo",2021,"control",53,"Quercus faginea","toledo/2021/control/53",1
"toledo",2021,"control",53,"Phillyrea angustifolia","toledo/2021/control/53",4
"toledo",2021,"control",53,"Thymus mastichina","toledo/2021/control/53",4
"toledo",2021,"control",53,"Erica australis","toledo/2021/control/53",2
"toledo",2021,"control",53,"Cistus ladanifer","toledo/2021/control/53",23
"toledo",2021,"high",56,"Quercus ilex","toledo/2021/high/56",12
"toledo",2021,"high",56,"Quercus pyrenaica","toledo/2021/high/56",2
"toledo",2021,"high",56,"Quercus faginea","toledo/2021/high/56",4
"toledo",2021,"high",56,"Pinus pinaster","toledo/2021/high/56",2
"toledo",2021,"high",56,"Cistus ladanifer","toledo/2021/high/56",13
"toledo",2021,"high",56,"Erica arborea","toledo/2021/high/56",1
"toledo",2021,"high",56,"Arbutus unedo","toledo/2021/high/56",1
"toledo",2021,"high",57,"Arbutus unedo","toledo/2021/high/57",1
"toledo",2021,"high",57,"Quercus ilex","toledo/2021/high/57",4
"toledo",2021,"high",57,"Pinus pinaster","toledo/2021/high/57",2
"toledo",2021,"high",57,"Erica arborea","toledo/2021/high/57",1
"toledo",2021,"high",57,"Rosmarinus officinalis","toledo/2021/high/57",2
"toledo",2021,"high",57,"Cistus ladanifer","toledo/2021/high/57",42
"toledo",2021,"high",58,"Quercus faginea","toledo/2021/high/58",4
"toledo",2021,"high",58,"Arbutus unedo","toledo/2021/high/58",2
"toledo",2021,"high",58,"Quercus ilex","toledo/2021/high/58",2
"toledo",2021,"high",58,"Phillyrea angustifolia","toledo/2021/high/58",2
"toledo",2021,"high",58,"Erica australis","toledo/2021/high/58",3
"toledo",2021,"high",58,"Erica arborea","toledo/2021/high/58",1
"toledo",2021,"high",58,"Cistus ladanifer","toledo/2021/high/58",17
"toledo",2021,"high",59,"Quercus ilex","toledo/2021/high/59",7
"toledo",2021,"high",59,"Arbutus unedo","toledo/2021/high/59",2
"toledo",2021,"high",59,"Quercus faginea","toledo/2021/high/59",2
"toledo",2021,"high",59,"Cistus ladanifer","toledo/2021/high/59",144
"toledo",2021,"high",60,"Quercus ilex","toledo/2021/high/60",1
"toledo",2021,"high",60,"Quercus faginea","toledo/2021/high/60",3
"toledo",2021,"high",60,"Pinus pinaster","toledo/2021/high/60",1
"toledo",2021,"high",60,"Rosmarinus officinalis","toledo/2021/high/60",1
"toledo",2021,"high",60,"Thymus mastichina","toledo/2021/high/60",1
"toledo",2021,"high",60,"Cistus ladanifer","toledo/2021/high/60",38
"toledo",2021,"control",64,"Quercus ilex","toledo/2021/control/64",2
"toledo",2021,"control",64,"Quercus faginea","toledo/2021/control/64",2
"toledo",2021,"control",64,"Arbutus unedo","toledo/2021/control/64",1
"toledo",2021,"control",64,"Pinus pinaster","toledo/2021/control/64",2
"toledo",2021,"control",64,"Thymus mastichina","toledo/2021/control/64",1
"toledo",2021,"control",64,"Rosmarinus officinalis","toledo/2021/control/64",1
"toledo",2021,"control",64,"Cistus ladanifer","toledo/2021/control/64",170
"toledo",2021,"control",65,"Quercus faginea","toledo/2021/control/65",1
"toledo",2021,"control",65,"Quercus pyrenaica","toledo/2021/control/65",2
"toledo",2021,"control",65,"Arbutus unedo","toledo/2021/control/65",2
"toledo",2021,"control",65,"Rosmarinus officinalis","toledo/2021/control/65",1
"toledo",2021,"control",65,"Thymus mastichina","toledo/2021/control/65",6
"toledo",2021,"control",65,"Erica arborea","toledo/2021/control/65",2
"toledo",2021,"control",65,"Cistus ladanifer","toledo/2021/control/65",259
"toledo",2021,"hyper",66,"Quercus ilex","toledo/2021/hyper/66",5
"toledo",2021,"hyper",66,"Quercus faginea","toledo/2021/hyper/66",29
"toledo",2021,"hyper",66,"Arbutus unedo","toledo/2021/hyper/66",10
"toledo",2021,"control",7,"Quercus ilex","toledo/2021/control/7",1
"toledo",2022,"control",6,"Crataegus monogyna","toledo/2022/control/6",7
"toledo",2022,"control",6,"Quercus pyrenaica","toledo/2022/control/6",12
"toledo",2022,"control",6,"Quercus faginea","toledo/2022/control/6",10
"toledo",2022,"control",6,"Quercus ilex","toledo/2022/control/6",1
"toledo",2022,"control",7,"Quercus ilex","toledo/2022/control/7",1
"toledo",2022,"control",7,"Quercus faginea","toledo/2022/control/7",3
"toledo",2022,"control",7,"Quercus pyrenaica","toledo/2022/control/7",17
"toledo",2022,"control",7,"Daphne gnidium","toledo/2022/control/7",1
"toledo",2022,"control",8,"Quercus faginea","toledo/2022/control/8",7
"toledo",2022,"control",8,"Arbutus unedo","toledo/2022/control/8",13
"toledo",2022,"control",8,"Quercus pyrenaica","toledo/2022/control/8",31
"toledo",2022,"control",8,"Phillyrea angustifolia","toledo/2022/control/8",1
"toledo",2022,"control",8,"Fraxinus angustifolia","toledo/2022/control/8",1
"toledo",2022,"control",8,"Rubus ulmifolius","toledo/2022/control/8",1
"toledo",2022,"control",9,"Quercus faginea","toledo/2022/control/9",54
"toledo",2022,"control",9,"Quercus ilex","toledo/2022/control/9",4
"toledo",2022,"control",9,"Arbutus unedo","toledo/2022/control/9",1
"toledo",2022,"control",9,"Phillyrea angustifolia","toledo/2022/control/9",3
"toledo",2022,"control",9,"Crataegus monogyna","toledo/2022/control/9",1
"toledo",2022,"control",9,"Rosmarinus officinalis","toledo/2022/control/9",1
"toledo",2022,"control",9,"Cistus populifolius","toledo/2022/control/9",1
"toledo",2022,"control",10,"Quercus pyrenaica","toledo/2022/control/10",11
"toledo",2022,"control",10,"Quercus faginea","toledo/2022/control/10",6
"toledo",2022,"control",10,"Quercus ilex","toledo/2022/control/10",4
"toledo",2022,"control",10,"Erica arborea","toledo/2022/control/10",2
"toledo",2022,"control",10,"Cistus populifolius","toledo/2022/control/10",2
"toledo",2022,"high",11,"Quercus ilex","toledo/2022/high/11",10
"toledo",2022,"high",11,"Quercus pyrenaica","toledo/2022/high/11",12
"toledo",2022,"high",11,"Sorbus torminalis","toledo/2022/high/11",1
"toledo",2022,"high",11,"Cistus ladanifer","toledo/2022/high/11",5
"toledo",2022,"high",11,"Rosmarinus officinalis","toledo/2022/high/11",1
"toledo",2022,"high",12,"Quercus faginea","toledo/2022/high/12",4
"toledo",2022,"high",12,"Quercus pyrenaica","toledo/2022/high/12",24
"toledo",2022,"high",12,"Phillyrea angustifolia","toledo/2022/high/12",1
"toledo",2022,"high",12,"Arbutus unedo","toledo/2022/high/12",3
"toledo",2022,"high",12,"Quercus ilex","toledo/2022/high/12",1
"toledo",2022,"high",13,"Quercus ilex","toledo/2022/high/13",1
"toledo",2022,"high",13,"Phillyrea angustifolia","toledo/2022/high/13",1
"toledo",2022,"high",13,"Quercus faginea","toledo/2022/high/13",13
"toledo",2022,"high",14,"Quercus pyrenaica","toledo/2022/high/14",29
"toledo",2022,"high",14,"Quercus faginea","toledo/2022/high/14",15
"toledo",2022,"high",14,"Quercus ilex","toledo/2022/high/14",6
"toledo",2022,"high",14,"Phillyrea angustifolia","toledo/2022/high/14",1
"toledo",2022,"high",14,"Cistus populifolius","toledo/2022/high/14",1
"toledo",2022,"high",15,"Quercus ilex","toledo/2022/high/15",8
"toledo",2022,"high",15,"Quercus faginea","toledo/2022/high/15",3
"toledo",2022,"high",15,"Quercus pyrenaica","toledo/2022/high/15",1
"toledo",2022,"high",15,"Cistus ladanifer","toledo/2022/high/15",6
"toledo",2022,"high",15,"Rosmarinus officinalis","toledo/2022/high/15",1
"toledo",2022,"hyper",16,"Quercus ilex","toledo/2022/hyper/16",5
"toledo",2022,"hyper",17,"Quercus faginea","toledo/2022/hyper/17",10
"toledo",2022,"hyper",17,"Quercus ilex","toledo/2022/hyper/17",18
"toledo",2022,"hyper",19,"Cistus ladanifer","toledo/2022/hyper/19",1
"toledo",2022,"hyper",20,"Quercus ilex","toledo/2022/hyper/20",17
"toledo",2022,"hyper",20,"Quercus pyrenaica","toledo/2022/hyper/20",1
"toledo",2022,"hyper",20,"Arbutus unedo","toledo/2022/hyper/20",1
"toledo",2022,"hyper",20,"Pistacia terebinthus","toledo/2022/hyper/20",2
"toledo",2022,"hyper",20,"Sorbus torminalis","toledo/2022/hyper/20",2
"toledo",2022,"hyper",20,"Phillyrea angustifolia","toledo/2022/hyper/20",1
"toledo",2022,"hyper",20,"Quercus faginea","toledo/2022/hyper/20",3
"toledo",2022,"hyper",20,"Daphne gnidium","toledo/2022/hyper/20",4
"toledo",2022,"hyper",20,"Cistus ladanifer","toledo/2022/hyper/20",4
"toledo",2022,"hyper",21,"Quercus ilex","toledo/2022/hyper/21",4
"toledo",2022,"hyper",21,"Quercus faginea","toledo/2022/hyper/21",3
"toledo",2022,"hyper",21,"Cistus ladanifer","toledo/2022/hyper/21",3
"toledo",2022,"hyper",21,"Rosmarinus officinalis","toledo/2022/hyper/21",4
"toledo",2022,"hyper",22,"Quercus ilex","toledo/2022/hyper/22",4
"toledo",2022,"hyper",22,"Phillyrea angustifolia","toledo/2022/hyper/22",1
"toledo",2022,"hyper",22,"Pinus pinaster","toledo/2022/hyper/22",1
"toledo",2022,"hyper",22,"Rosmarinus officinalis","toledo/2022/hyper/22",15
"toledo",2022,"hyper",22,"Daphne gnidium","toledo/2022/hyper/22",1
"toledo",2022,"hyper",22,"Cistus ladanifer","toledo/2022/hyper/22",9
"toledo",2022,"hyper",23,"Quercus ilex","toledo/2022/hyper/23",5
"toledo",2022,"hyper",23,"Cistus ladanifer","toledo/2022/hyper/23",5
"toledo",2022,"hyper",23,"Rosmarinus officinalis","toledo/2022/hyper/23",1
"toledo",2022,"hyper",23,"Cistus populifolius","toledo/2022/hyper/23",2
"toledo",2022,"hyper",24,"Arbutus unedo","toledo/2022/hyper/24",5
"toledo",2022,"hyper",24,"Quercus ilex","toledo/2022/hyper/24",8
"toledo",2022,"hyper",24,"Pinus pinaster","toledo/2022/hyper/24",1
"toledo",2022,"hyper",24,"Erica arborea","toledo/2022/hyper/24",1
"toledo",2022,"hyper",24,"Rosmarinus officinalis","toledo/2022/hyper/24",4
"toledo",2022,"hyper",24,"Daphne gnidium","toledo/2022/hyper/24",1
"toledo",2022,"hyper",24,"Cistus ladanifer","toledo/2022/hyper/24",1
"toledo",2022,"hyper",25,"Quercus ilex","toledo/2022/hyper/25",13
"toledo",2022,"hyper",25,"Quercus faginea","toledo/2022/hyper/25",2
"toledo",2022,"hyper",25,"Lonicera implexa","toledo/2022/hyper/25",1
"toledo",2022,"hyper",25,"Arbutus unedo","toledo/2022/hyper/25",2
"toledo",2022,"hyper",25,"Phillyrea angustifolia","toledo/2022/hyper/25",2
"toledo",2022,"hyper",25,"Cistus ladanifer","toledo/2022/hyper/25",1
"toledo",2022,"hyper",25,"Rosmarinus officinalis","toledo/2022/hyper/25",1
"toledo",2022,"hyper",25,"Cistus populifolius","toledo/2022/hyper/25",1
"toledo",2022,"control",51,"Phillyrea angustifolia","toledo/2022/control/51",4
"toledo",2022,"control",51,"Arbutus unedo","toledo/2022/control/51",4
"toledo",2022,"control",51,"Quercus ilex","toledo/2022/control/51",7
"toledo",2022,"control",51,"Quercus faginea","toledo/2022/control/51",1
"toledo",2022,"control",51,"Rosmarinus officinalis","toledo/2022/control/51",2
"toledo",2022,"control",51,"Thymus mastichina","toledo/2022/control/51",1
"toledo",2022,"control",51,"Cistus ladanifer","toledo/2022/control/51",1
"toledo",2022,"control",51,"Thymelaea villosa","toledo/2022/control/51",1
"toledo",2022,"control",52,"Phillyrea angustifolia","toledo/2022/control/52",4
"toledo",2022,"control",52,"Arbutus unedo","toledo/2022/control/52",2
"toledo",2022,"control",52,"Cistus ladanifer","toledo/2022/control/52",1
"toledo",2022,"control",52,"Rosmarinus officinalis","toledo/2022/control/52",1
"toledo",2022,"control",52,"Erica arborea","toledo/2022/control/52",5
"toledo",2022,"control",53,"Pinus pinaster","toledo/2022/control/53",1
"toledo",2022,"control",53,"Arbutus unedo","toledo/2022/control/53",4
"toledo",2022,"control",53,"Quercus faginea","toledo/2022/control/53",1
"toledo",2022,"control",53,"Phillyrea angustifolia","toledo/2022/control/53",3
"toledo",2022,"control",53,"Quercus pyrenaica","toledo/2022/control/53",1
"toledo",2022,"control",53,"Cistus ladanifer","toledo/2022/control/53",17
"toledo",2022,"control",53,"Rosmarinus officinalis","toledo/2022/control/53",3
"toledo",2022,"control",53,"Thymus mastichina","toledo/2022/control/53",3
"toledo",2022,"high",56,"Quercus ilex","toledo/2022/high/56",18
"toledo",2022,"high",56,"Quercus faginea","toledo/2022/high/56",2
"toledo",2022,"high",56,"Quercus pyrenaica","toledo/2022/high/56",1
"toledo",2022,"high",56,"Pinus pinaster","toledo/2022/high/56",2
"toledo",2022,"high",56,"Arbutus unedo","toledo/2022/high/56",1
"toledo",2022,"high",56,"Rosmarinus officinalis","toledo/2022/high/56",2
"toledo",2022,"high",56,"Cistus ladanifer","toledo/2022/high/56",12
"toledo",2022,"high",57,"Arbutus unedo","toledo/2022/high/57",3
"toledo",2022,"high",57,"Quercus ilex","toledo/2022/high/57",1
"toledo",2022,"high",57,"Crataegus monogyna","toledo/2022/high/57",1
"toledo",2022,"high",57,"Erica arborea","toledo/2022/high/57",1
"toledo",2022,"high",57,"Cistus ladanifer","toledo/2022/high/57",17
"toledo",2022,"high",58,"Arbutus unedo","toledo/2022/high/58",3
"toledo",2022,"high",58,"Phillyrea angustifolia","toledo/2022/high/58",1
"toledo",2022,"high",58,"Quercus faginea","toledo/2022/high/58",1
"toledo",2022,"high",58,"Quercus ilex","toledo/2022/high/58",1
"toledo",2022,"high",59,"Quercus ilex","toledo/2022/high/59",1
"toledo",2022,"high",59,"Quercus faginea","toledo/2022/high/59",1
"toledo",2022,"high",59,"Erica arborea","toledo/2022/high/59",1
"toledo",2022,"high",59,"Cistus ladanifer","toledo/2022/high/59",108
"toledo",2022,"high",60,"Quercus faginea","toledo/2022/high/60",1
"toledo",2022,"high",60,"Rosmarinus officinalis","toledo/2022/high/60",3
"toledo",2022,"high",60,"Cistus ladanifer","toledo/2022/high/60",20
"toledo",2022,"control",64,"Quercus faginea","toledo/2022/control/64",6
"toledo",2022,"control",64,"Arbutus unedo","toledo/2022/control/64",1
"toledo",2022,"control",64,"Rosmarinus officinalis","toledo/2022/control/64",5
"toledo",2022,"control",64,"Cistus ladanifer","toledo/2022/control/64",108
"toledo",2022,"control",65,"Quercus faginea","toledo/2022/control/65",1
"toledo",2022,"control",65,"Arbutus unedo","toledo/2022/control/65",3
"toledo",2022,"control",65,"Cistus ladanifer","toledo/2022/control/65",153
"toledo",2022,"hyper",66,"Sorbus torminalis","toledo/2022/hyper/66",3
"toledo",2022,"hyper",66,"Quercus faginea","toledo/2022/hyper/66",33
"toledo",2022,"hyper",66,"Quercus ilex","toledo/2022/hyper/66",7
"toledo",2022,"hyper",66,"Arbutus unedo","toledo/2022/hyper/66",40
"toledo",2022,"hyper",66,"Rhamnus alaternus","toledo/2022/hyper/66",1
"toledo",2022,"hyper",66,"Quercus pyrenaica","toledo/2022/hyper/66",1
"toledo",2022,"hyper",66,"Rubus ulmifolius","toledo/2022/hyper/66",1
"valencia",2021,"high",1,"Juniperus oxycedrus","valencia/2021/high/1",3
"valencia",2021,"high",2,"Quercus ilex","valencia/2021/high/2",2
"valencia",2021,"high",2,"Juniperus oxycedrus","valencia/2021/high/2",3
"valencia",2021,"control_high",18,"Quercus ilex","valencia/2021/control_high/18",3
"valencia",2021,"control_high",19,"Quercus ilex","valencia/2021/control_high/19",4
"valencia",2021,"control_high",22,"Quercus ilex","valencia/2021/control_high/22",4
"valencia",2021,"hyper",38,"Quercus ilex","valencia/2021/hyper/38",2
"valencia",2021,"hyper",39,"Quercus ilex","valencia/2021/hyper/39",4
"valencia",2021,"hyper",40,"Quercus ilex","valencia/2021/hyper/40",10
"valencia",2021,"hyper",41,"Quercus ilex","valencia/2021/hyper/41",16
"valencia",2021,"hyper",44,"Quercus ilex","valencia/2021/hyper/44",9
"valencia",2021,"control_hyper",46,"Quercus ilex","valencia/2021/control_hyper/46",10
"valencia",2021,"control_hyper",48,"Quercus ilex","valencia/2021/control_hyper/48",3
"valencia",2021,"hyper",58,"Quercus ilex","valencia/2021/hyper/58",12
"valencia",2021,"hyper",59,"Pinus halepensis","valencia/2021/hyper/59",2
"valencia",2022,"high",1,"Juniperus oxycedrus","valencia/2022/high/1",1
"valencia",2022,"high",2,"Juniperus oxycedrus","valencia/2022/high/2",2
"valencia",2022,"high",2,"Quercus ilex","valencia/2022/high/2",3
"valencia",2022,"high",9,"Quercus ilex","valencia/2022/high/9",1
"valencia",2022,"high",11,"Juniperus oxycedrus","valencia/2022/high/11",1
"valencia",2022,"control_high",19,"Quercus coccifera","valencia/2022/control_high/19",6
"valencia",2022,"control_high",19,"Quercus ilex","valencia/2022/control_high/19",5
"valencia",2022,"control_high",21,"Quercus coccifera","valencia/2022/control_high/21",11
"valencia",2022,"control_high",21,"Quercus ilex","valencia/2022/control_high/21",4
"valencia",2022,"control_high",22,"Quercus ilex","valencia/2022/control_high/22",8
"valencia",2022,"control_high",22,"Quercus coccifera","valencia/2022/control_high/22",3
"valencia",2022,"control_hyper",45,"Quercus coccifera","valencia/2022/control_hyper/45",12
"valencia",2022,"control_hyper",45,"Quercus ilex","valencia/2022/control_hyper/45",1
"valencia",2022,"control_hyper",46,"Quercus ilex","valencia/2022/control_hyper/46",8
"valencia",2022,"control_hyper",46,"Quercus coccifera","valencia/2022/control_hyper/46",8
"valencia",2022,"control_hyper",47,"Quercus coccifera","valencia/2022/control_hyper/47",13
"valencia",2022,"control_hyper",47,"Quercus ilex","valencia/2022/control_hyper/47",8
"valencia",2022,"control_hyper",48,"Quercus ilex","valencia/2022/control_hyper/48",7
"valencia",2022,"control_hyper",48,"Quercus coccifera","valencia/2022/control_hyper/48",11
"valencia",2022,"control_hyper",49,"Quercus coccifera","valencia/2022/control_hyper/49",9
"valencia",2022,"hyper",38,"Quercus coccifera","valencia/2022/hyper/38",10
"valencia",2022,"hyper",38,"Quercus ilex","valencia/2022/hyper/38",4
"valencia",2022,"hyper",39,"Quercus coccifera","valencia/2022/hyper/39",2
"valencia",2022,"hyper",39,"Quercus ilex","valencia/2022/hyper/39",5
"valencia",2022,"hyper",40,"Quercus coccifera","valencia/2022/hyper/40",12
"valencia",2022,"hyper",40,"Quercus ilex","valencia/2022/hyper/40",7
"valencia",2022,"hyper",41,"Quercus coccifera","valencia/2022/hyper/41",6
"valencia",2022,"hyper",41,"Quercus ilex","valencia/2022/hyper/41",12
"valencia",2022,"hyper",42,"Quercus coccifera","valencia/2022/hyper/42",9
"valencia",2022,"hyper",43,"Quercus coccifera","valencia/2022/hyper/43",11
"valencia",2022,"hyper",44,"Quercus coccifera","valencia/2022/hyper/44",5
"valencia",2022,"hyper",44,"Quercus ilex","valencia/2022/hyper/44",10
"valencia",2022,"hyper",58,"Quercus ilex","valencia/2022/hyper/58",7
"valencia",2022,"hyper",58,"Quercus coccifera","valencia/2022/hyper/58",2
"valencia",2022,"hyper",59,"Quercus ilex","valencia/2022/hyper/59",2
"valencia",2022,"hyper",60,"Quercus coccifera","valencia/2022/hyper/60",8
"valencia",2022,"hyper",60,"Quercus ilex","valencia/2022/hyper/60",1
