"site","habitat","treatment","Cercado","plot","sampling_unit","year","date","variable_type","variable_name","level","Intervalo","observation","Grado de ramoneo","sampling_num","units","comments","author_code"
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",100,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",20,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T38",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",30,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",110,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",20,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",10,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",25,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",25,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",375,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Genista_scorpius",15,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",25,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",355,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",195,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",120,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",80,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",85,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",20,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",6,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",3,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",6,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",11,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",124,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",2,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",15,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",240,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Cistus_albidus",4,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Cistus_albidus",2,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",18,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",200,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",140,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Herbs",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",170,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Genista_scorpius",23,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T39",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",300,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",80,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",4,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",5,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_apenninum",2,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",3,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",7,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",20,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",10,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",39,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",11,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",13,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",5,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",10,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",180,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Cistus_albidus",10,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_cinereum",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",20,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",6,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",66,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",157,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Cistus_salviifolius",20,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",55,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Helianthemum_apenninum",1,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",3,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Quercus_ilex",100,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",6,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",55,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Quercus_ilex",15,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",215,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Quercus_ilex",55,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",185,1,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Thymus_vulgaris",10,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",250,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",640,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Genista_scorpius",40,2,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",70,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",10,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Pinus_halepensis",73,1,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",40,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Dorycnium_hirsutum",2,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Quercus_coccifera",88,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",343,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",10,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Dorycnium_pentaphyllum",10,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",30,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Cistus_salviifolius",20,5,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Dorycnium_pentaphyllum",3,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Ulex_parviflorus",10,0,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",60,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",15,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",2,4,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Rosmarinus_officinalis",50,3,NA,NA,"browsing semi-cuantitative index",NA,NA
"valencia","scrub","hyper","lejos de la carretera",NA,"T40",2022,2022-06-02,"vegetation","browsing_degree","Herbs",10,4,NA,NA,"browsing semi-cuantitative index",NA,NA
