"observation","site","habitat","treatment","plot","sampling_unit","year","variable_type","variable_name","level","units","comments","author_code"
0,"valencia",NA,"control_hyper",NA,"BE5",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"control_hyper",NA,"BE6",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_hyper",NA,"BE6",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"control_hyper",NA,"BE7",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"control_hyper",NA,"BE7",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1.75,"valencia",NA,"high",NA,"AA1",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.666666666666667,"valencia",NA,"high",NA,"AA1",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"high",NA,"AA10",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"high",NA,"AA10",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"high",NA,"AA2",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.666666666666667,"valencia",NA,"high",NA,"AA2",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.75,"valencia",NA,"high",NA,"AA3",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.333333333333333,"valencia",NA,"high",NA,"AA3",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.75,"valencia",NA,"high",NA,"AA4",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"high",NA,"AA4",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"high",NA,"AA5",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"high",NA,"AA5",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.75,"valencia",NA,"high",NA,"AA6",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.333333333333333,"valencia",NA,"high",NA,"AA6",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"high",NA,"AA7",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1.33333333333333,"valencia",NA,"high",NA,"AA7",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"high",NA,"AA8",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"high",NA,"AA8",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"high",NA,"AA9",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.333333333333333,"valencia",NA,"high",NA,"AA9",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"hyper",NA,"BA1",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.666666666666667,"valencia",NA,"hyper",NA,"BA1",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"hyper",NA,"BA10",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
2.66666666666667,"valencia",NA,"hyper",NA,"BA10",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"hyper",NA,"BA2",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
2,"valencia",NA,"hyper",NA,"BA2",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"hyper",NA,"BA3",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.333333333333333,"valencia",NA,"hyper",NA,"BA3",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"hyper",NA,"BA4",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0,"valencia",NA,"hyper",NA,"BA4",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1,"valencia",NA,"hyper",NA,"BA5",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
1.66666666666667,"valencia",NA,"hyper",NA,"BA5",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"hyper",NA,"BA6",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
3,"valencia",NA,"hyper",NA,"BA6",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.25,"valencia",NA,"hyper",NA,"BA7",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
2.66666666666667,"valencia",NA,"hyper",NA,"BA7",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.75,"valencia",NA,"hyper",NA,"BA8",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.333333333333333,"valencia",NA,"hyper",NA,"BA8",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
0.5,"valencia",NA,"hyper",NA,"BA9",2021,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
4.66666666666667,"valencia",NA,"hyper",NA,"BA9",2022,"ticks_environment","ticks_environment","Rhipicephalus_bursa","n_individuals",NA,NA
